"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","pit_bull","zip_match","zip_code_imputed"
5090,2017-09-24,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan","10128",TRUE,TRUE,"10128"
5091,2017-09-23,"DOG","AMERICAN STAFF MIX",4,"M",FALSE,"Manhattan","10029",FALSE,TRUE,"10029"
5092,2017-09-22,"DOG","UNKNOWN",NA,"U",FALSE,"Manhattan","10026",FALSE,TRUE,"10026"
5093,2017-09-27,"DOG","TERRIER MIX",5,"F",TRUE,"Manhattan","10032",FALSE,TRUE,"10032"
5094,2017-09-27,"DOG","CHIHUAHUA/YORKSHIRE MIX",1,"F",FALSE,"Manhattan","10035",FALSE,TRUE,"10035"
5095,2017-09-27,"DOG","Pomeranian",8,"M",TRUE,"Manhattan","10001",FALSE,TRUE,"10001"
5096,2017-09-28,"DOG","Shih Tzu",5,"F",TRUE,"Manhattan","10025",FALSE,TRUE,"10025"
5097,2017-09-29,"DOG","Pit Bull",8,"M",FALSE,"Manhattan","10035",TRUE,TRUE,"10035"
5098,2017-09-29,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan",NA,TRUE,NA,"10024"
5099,2017-09-29,"DOG","Saint Bernard",4,"M",FALSE,"Manhattan","10014",FALSE,TRUE,"10014"
5100,2017-09-30,"DOG","Yorkshire Terrier",4,"M",TRUE,"Manhattan","10024",FALSE,TRUE,"10024"
5101,2017-09-29,"DOG","Bull dog",NA,"U",FALSE,"Manhattan","10280",FALSE,TRUE,"10280"
5102,2017-09-20,"DOG","Bull dog",NA,"U",FALSE,"Manhattan","10065",FALSE,TRUE,"10065"
5103,2017-09-24,"DOG","Pit Bull",5,"M",TRUE,"Manhattan","10014",TRUE,TRUE,"10014"
5104,2017-10-02,"DOG","Bull Dog, French",2,"F",TRUE,"Manhattan","10003",FALSE,TRUE,"10003"
5105,2017-09-30,"DOG","Boxer",5,"M",TRUE,"Manhattan","10030",FALSE,TRUE,"10030"
